date,close,change,pct,z_score,open,high,low,volume,fetch_time
6/13/2025,19406.83,-255.66,-1.30,0.00,19406.83,19406.83,19406.83,0,
6/16/2025,19701.21,294.38,1.52,0.00,19701.21,19701.21,19701.21,0,
6/17/2025,19521.09,-180.12,-0.91,0.00,19521.09,19521.09,19521.09,0,
6/18/2025,19546.27,25.18,0.13,0.00,19546.27,19546.27,19546.27,0,
6/20/2025,19447.41,-98.86,-0.51,0.00,19447.41,19447.41,19447.41,0,
6/23/2025,19630.97,183.56,0.94,0.00,19630.97,19630.97,19630.97,0,
6/24/2025,19912.53,281.56,1.43,0.00,19912.53,19912.53,19912.53,0,
6/25/2025,19973.55,61.02,0.31,0.00,19973.55,19973.55,19973.55,0,
6/26/2025,20167.91,194.36,0.97,0.00,20167.91,20167.91,20167.91,0,
6/27/2025,20273.46,105.55,0.52,0.00,20273.46,20273.46,20273.46,0,
6/30/2025,20369.73,96.27,0.47,0.00,20369.73,20369.73,20369.73,0,
7/1/2025,20202.89,-166.84,-0.82,0.00,20202.89,20202.89,20202.89,0,
7/2/2025,20393.13,190.24,0.94,0.00,20393.13,20393.13,20393.13,0,
7/3/2025,20601.10,207.97,1.02,0.00,20601.10,20601.10,20601.10,0,
7/7/2025,20412.52,-188.58,-0.92,0.00,20412.52,20412.52,20412.52,0,
7/8/2025,20418.46,5.94,0.03,0.00,20418.46,20418.46,20418.46,0,
7/9/2025,20611.34,192.88,0.94,0.00,20611.34,20611.34,20611.34,0,
7/10/2025,20630.66,19.32,0.09,0.00,20630.66,20630.66,20630.66,0,
7/11/2025,20585.53,-45.13,-0.22,0.00,20585.53,20585.53,20585.53,0,
7/14/2025,20640.33,54.80,0.27,0.00,20640.33,20640.33,20640.33,0,
7/15/2025,20677.80,37.47,0.18,0.00,20677.80,20677.80,20677.80,0,
7/16/2025,20730.49,52.69,0.25,0.00,20730.49,20730.49,20730.49,0,
7/17/2025,20885.65,155.16,0.75,0.00,20885.65,20885.65,20885.65,0,
7/18/2025,20895.65,10.00,0.05,0.00,20895.65,20895.65,20895.65,0,
7/21/2025,20974.18,78.53,0.38,0.00,20974.18,20974.18,20974.18,0,
7/22/2025,20892.69,-81.49,-0.39,0.00,20892.69,20892.69,20892.69,0,
7/23/2025,21020.02,127.33,0.61,0.00,21020.02,21020.02,21020.02,0,
7/24/2025,21057.96,37.94,0.18,0.00,21057.96,21057.96,21057.96,0,
7/25/2025,21108.32,50.36,0.24,0.00,21108.32,21108.32,21108.32,0,
7/28/2025,21178.58,70.26,0.33,0.00,21178.58,21178.58,21178.58,0,
7/29/2025,21098.29,-80.29,-0.38,0.00,21098.29,21098.29,21098.29,0,
7/30/2025,21129.67,31.38,0.15,0.00,21129.67,21129.67,21129.67,0,
7/31/2025,21122.45,-7.22,-0.03,0.00,21122.45,21122.45,21122.45,0,
8/1/2025,20650.13,-472.32,-2.24,0.00,20650.13,20650.13,20650.13,0,
8/4/2025,21053.58,403.45,1.95,0.00,21053.58,21053.58,21053.58,0,
8/5/2025,20916.55,-137.03,-0.65,0.00,20916.55,20916.55,20916.55,0,
8/6/2025,21169.42,252.87,1.21,0.00,21169.42,21169.42,21169.42,0,
8/7/2025,21242.70,73.28,0.35,0.00,21242.70,21242.70,21242.70,0,
8/8/2025,21450.02,207.32,0.98,0.00,21450.02,21450.02,21450.02,0,
8/11/2025,21385.40,-64.62,-0.30,0.00,21385.40,21385.40,21385.40,0,
8/12/2025,21681.90,296.50,1.39,0.00,21681.90,21681.90,21681.90,0,
8/13/2025,21713.14,31.24,0.14,0.00,21713.14,21713.14,21713.14,0,
8/14/2025,21710.67,-2.47,-0.01,0.00,21710.67,21710.67,21710.67,0,
8/15/2025,21622.98,-87.69,-0.40,0.00,21622.98,21622.98,21622.98,0,
8/18/2025,21629.77,6.79,0.03,0.00,21629.77,21629.77,21629.77,0,
8/19/2025,21314.95,-314.82,-1.46,0.00,21314.95,21314.95,21314.95,0,
