date,close,change,pct,open,high,low,volume,fetch_time
2024-04-02,2261.00,24.50,1.10,2252.00,2279.20,2247.60,435,
2024-04-03,2294.40,33.40,1.48,2281.70,2298.80,2267.90,285,
2024-04-04,2288.80,-5.60,-0.24,2301.70,2302.90,2280.00,251,
2024-04-05,2325.70,36.90,1.61,2289.20,2328.40,2267.40,344,
2024-04-08,2331.70,6.00,0.26,2325.60,2341.80,2319.00,202,
2024-04-09,2343.50,11.80,0.51,2337.80,2364.70,2337.80,211,
2024-04-10,2329.60,-13.90,-0.59,2346.60,2358.10,2327.70,377,
2024-04-11,2354.80,25.20,1.08,2341.50,2376.30,2330.60,283,
2024-04-12,2356.20,1.40,0.06,2377.30,2429.00,2334.30,584,
2024-04-15,2365.80,9.60,0.41,2362.10,2384.70,2326.00,1801,
2024-04-16,2390.80,25.00,1.06,2384.00,2390.80,2371.40,41,
2024-04-17,2371.70,-19.10,-0.80,2384.20,2391.40,2369.30,37,
2024-04-18,2382.30,10.60,0.45,2368.40,2384.40,2368.40,128,
2024-04-19,2398.40,16.10,0.68,2379.30,2399.80,2377.30,160,
2024-04-22,2332.20,-66.20,-2.76,2383.30,2383.30,2326.90,53,
2024-04-23,2327.70,-4.50,-0.19,2327.70,2330.80,2294.20,171,
2024-04-24,2324.50,-3.20,-0.14,2321.30,2328.70,2314.60,95,
2024-04-25,2329.80,5.30,0.23,2315.00,2329.80,2305.00,1024,
2024-04-26,2334.80,5.00,0.21,2347.90,2347.90,2332.80,717,
2024-04-29,2345.40,10.60,0.45,2334.80,2345.50,2327.90,405,
2024-04-30,2291.40,-54.00,-2.30,2322.50,2322.50,2291.40,113,
2024-05-01,2299.90,8.50,0.37,2287.70,2327.30,2283.80,42,
2024-05-02,2299.20,-0.70,-0.03,2321.70,2324.70,2292.30,56,
2024-05-03,2299.00,-0.20,-0.01,2300.00,2301.00,2277.60,194,
2024-05-06,2321.60,22.60,0.98,2322.80,2325.50,2314.20,9,
2024-05-07,2315.20,-6.40,-0.28,2324.30,2324.30,2315.20,25,
